Numero_Commande,Jour,Prix_Min_Article,Prix_Max_Article,Quantite_Article_Panier,Prix_Total_Panier
1,0,32.93430884960887,71.05270081758266,5,371.05968482956973
2,0,42.53992178858328,54.778087610452324,3,654.7573771236068
3,0,27.329974933549344,41.3435545532098,7,450.71244339230503
4,0,32.433899465569695,46.78799529068775,4,632.5639834656599
5,0,41.46137176292902,54.07605140945523,6,882.0453735450134
6,0,59.13012446965847,60.911229810190186,7,536.9175252266241
7,0,35.03453498703378,47.99562106841993,8,833.8990021100503
8,0,28.130055176249,51.922032644911674,7,438.846205015257
9,0,45.457530472690536,50.9239641114412,6,496.96468999247963
10,0,38.43197624713086,67.62413414223107,6,726.5881114581473
11,0,46.48153669851883,63.19250907063482,8,822.59494179591
12,0,60.56128245746248,63.06641888602504,8,562.3446518905037
13,0,30.90426099844711,43.740221826744225,8,362.78902639099823
14,0,59.06444252127017,62.23607613360537,6,577.6102172584533
15,0,29.584994476529204,36.444519858970445,7,496.96606837831706
16,0,30.61560523047674,53.72049633292823,8,321.75166973295836
17,0,34.349912037399264,41.34142809462938,9,656.3212199437066
18,0,34.23383869760626,39.707545384176214,8,484.58837150615216
19,0,53.6112580271985,67.74094862656295,7,796.4865072829255
20,0,53.362862950821594,56.443279234374735,9,479.5246195565278
21,0,44.68942573114216,84.06161464493933,8,444.28831570397995
22,0,21.2941883259021,25.867502047051495,7,442.3250707678237
23,0,21.496653769519863,61.627553969711364,9,690.0368065054472
24,0,39.547531296381784,51.54611554524635,6,686.9626721099091
25,0,33.362996377038726,40.98463832686776,7,661.7164202986103
26,0,36.53634096583883,45.72336137627075,8,482.62453734150074
27,0,37.65342050235261,68.52313091853625,5,651.5566670253936
28,0,21.330183545523646,56.375126128757884,8,454.123673529449
29,0,56.936675758948255,64.06341671130718,7,466.4541986406349
30,0,38.23103061815699,62.76008149631503,5,415.97896407142855
31,0,52.23001697264555,57.03617602434323,7,600.0472306908295
32,0,49.22345164427811,58.05154479285277,9,697.1065294859998
33,0,29.738465542226216,51.324977765988265,7,501.6586508627854
34,0,28.435955652465292,47.405705497700275,8,516.3977441679125
35,0,49.58252629865271,57.06029722111538,6,481.7847393214271
36,0,21.744405184178135,55.86916467918557,9,651.006273242589
37,0,43.85801716351622,52.99697353921612,7,603.960322946796
38,0,35.39973766525948,61.09938952774204,9,359.91141875829845
39,0,38.58262462447056,65.97594721276222,8,730.3617013590011
40,0,23.143384572313845,48.35473901571955,7,488.57575867058813
41,0,37.7465651687345,56.58933151687006,4,457.3635827622667
42,0,42.79029750468637,53.72280508679323,7,629.9862126647042
43,0,42.000129248439826,56.942589610979375,5,234.3079969755986
44,0,38.80226871215558,41.077582601376506,7,715.5141315101923
45,0,21.677302936171763,70.33916068933038,7,796.7742303862249
46,0,52.913976476204915,85.90132158160786,9,739.4229451017636
47,0,41.20158736058793,45.30343399262515,9,798.1649312937104
48,0,45.27161792870587,67.9181203021376,8,416.84649965631013
49,0,47.680909489899136,62.20233461728754,7,595.9658802199463
50,0,34.321894771198004,66.49016420672079,8,363.5209025894869
51,0,29.658003167089653,39.029737023781756,7,412.76020460724453
52,0,49.02516542262288,66.23410295501148,6,716.3290563838808
53,0,27.17076860846301,73.18707633532719,8,501.45536052668325
54,0,41.63205816356316,52.90959761565069,8,604.4354501193259
55,0,46.04295366799141,53.38514184081902,8,796.9778279469011
56,0,27.370038400954265,47.69424485893836,7,406.67767804065045
57,0,50.836801790160365,57.78077610297817,7,467.6568403750887
58,0,59.53163351177933,64.6057707983436,7,593.7702708953043
59,0,42.38295276662423,56.70258582712033,7,672.1574140233605
60,0,53.06789192168931,54.96621255986689,7,546.1574318635801
61,0,40.93263563946664,43.1111832545487,7,476.1807589731957
62,0,50.89061859708909,64.58524172672364,9,605.8970000965154
